"_id","_labels","aktuellesWetter","fernbahn_gleise","name","rollstuhl","s_bahn_gleise","u_bahn_gleise","zukünftigesWetter","überdacht","_start","_end","_type","distanz","fahrzeit"
"0",":Station","gut","9","Köln Hauptbahnhof","yes","2","","bewölkt","true",,,,,
"1",":Station","gut","8","Hamburg Hauptbahnhof","yes","4","","bewölkt","true",,,,,
"2",":Station","gut","10","Hannover Hauptbahnhof","yes","2","","bewölkt","true",,,,,
"3",":Station","gut","2","Berlin-Westkreuz","yes","4","","bewölkt","true",,,,,
"4",":Station","gut","8","Hamburg Altona","limited","4","","bewölkt","true",,,,,
"5",":Station","gut","6","Gesundbrunnen","yes","4","","bewölkt","true",,,,,
"6",":Station","gut","32","München Hauptbahnhof","yes","2","","bewölkt","true",,,,,
"7",":Station","gut","18","Nürnberg Hauptbahnhof","yes","4","","bewölkt","true",,,,,
"8",":Station","gut","4","Berlin-Spandau","yes","2","","bewölkt","no",,,,,
"9",":Station","gut","6","Berlin-Südkreuz","yes","4","","bewölkt","true",,,,,
"10",":Station","gut","4","Potsdam Hauptbahnhof","yes","2","","bewölkt","true",,,,,
"11",":Station","gut","12","Berlin Hauptbahnhof","yes","4","2","bewölkt","true",,,,,
"12",":Station","gut","","Neukölln","no","2","","bewölkt","limited",,,,,
"13",":Station","gut","6","Ostkreuz","yes","6","","bewölkt","true",,,,,
"14",":Station","gut","4","Friedrichsstraße","yes","4","2","bewölkt","true",,,,,
,,,,,,,,,,"8","3","SBAHN","10","15"
,,,,,,,,,,"9","11","SBAHN","8","12"
,,,,,,,,,,"0","1","FERNBAHN","357","178"
,,,,,,,,,,"0","2","FERNBAHN","249","124"
,,,,,,,,,,"0","7","FERNBAHN","337","168"
,,,,,,,,,,"7","9","FERNBAHN","438","219"
,,,,,,,,,,"2","8","FERNBAHN","235","117"
,,,,,,,,,,"8","11","FERNBAHN","13","6"
,,,,,,,,,,"3","11","SBAHN","4","6"
,,,,,,,,,,"1","2","FERNBAHN","151","75"
,,,,,,,,,,"9","11","FERNBAHN","8","4"
,,,,,,,,,,"10","3","SBAHN","30","47"
,,,,,,,,,,"4","1","SBAHN","6","9"
,,,,,,,,,,"4","1","FERNBAHN","6","3"
,,,,,,,,,,"5","14","SBAHN","5","7"
,,,,,,,,,,"12","9","SBAHN","4","6"
,,,,,,,,,,"8","12","UBAHN","20","40"
,,,,,,,,,,"1","8","FERNBAHN","278","139"
,,,,,,,,,,"6","7","FERNBAHN","173","86"
,,,,,,,,,,"7","2","FERNBAHN","472","236"
,,,,,,,,,,"10","11","FERNBAHN","34","17"
,,,,,,,,,,"9","3","SBAHN","10","15"
,,,,,,,,,,"14","13","SBAHN","5","7"
,,,,,,,,,,"14","13","FERNBAHN","5","2"
,,,,,,,,,,"14","11","FERNBAHN","2","1"
,,,,,,,,,,"14","11","SBAHN","2","3"
,,,,,,,,,,"9","14","SBAHN","7","11"
,,,,,,,,,,"9","14","FERNBAHN","7","3"
,,,,,,,,,,"5","13","SBAHN","7","11"
,,,,,,,,,,"12","13","SBAHN","4","6"
,,,,,,,,,,"3","5","SBAHN","7","11"
